Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.589091
41.6178	0.935589
83.2356	0.947007
124.853	0.982197
166.471	1.0198
208.089	1.05028
249.707	1.07803
291.325	1.1248
332.942	1.14469
374.56	1.18013
416.178	1.21856
457.796	1.26834
499.414	1.30233
541.032	1.33573
582.649	1.37925
624.267	1.42227
665.885	1.46853
707.503	1.49699
749.121	1.5516
790.738	1.57585
832.356	1.62129
873.974	1.67441
915.592	1.70597
957.21	1.74228
998.827	1.78016
1040.45	1.80746
1082.06	1.83731
1123.68	1.86852
1165.3	1.91546
1206.92	1.93784
1248.53	1.94869
1290.15	1.98994
1331.77	2.02975
1373.39	2.06866
1415.01	2.04745
1456.62	2.07191
1498.24	2.05873
1539.86	2.08459
1581.48	2.10434
1623.09	2.09733
1664.71	2.10264
1706.33	2.07961
1747.95	2.05498
1789.57	2.01304
1831.18	1.99961
1872.8	1.94035
1914.42	1.91506
1956.04	1.85165
1997.65	1.81237
2039.27	1.75973
2080.89	1.69837
2122.51	1.59792
2164.13	1.51929
2205.74	1.46813
2247.36	1.37499
2288.98	1.27816
2330.6	1.18433
2372.22	1.09235
2413.83	0.988853
2455.45	0.907885
2497.07	0.823072
2538.69	0.732537
2580.3	0.638155
2621.92	0.547961
2663.54	0.450123
2705.16	0.379465
2746.78	0.300942
2788.39	0.241475
2830.01	0.19656
2871.63	0.146785
2913.25	0.114035
2954.86	0.0888977
2996.48	0.0677441
3038.1	0.0483376
3079.72	0.0358434
3121.34	0.0269628
3162.95	0.0171538
3204.57	0.0138627
3246.19	0.00924615
3287.81	0.00498519
3329.42	0.00414968
3371.04	0.00296191
3412.66	0.00166433
3454.28	0.00169387
3495.9	0.000588622
3537.51	0.000696809
3579.13	0.000326173
3620.75	0.000575264
3662.37	0.000277026
3703.98	2.71527e-05
3745.6	4.6564e-05
3787.22	2.52851e-05
3828.84	1.31813e-05
3870.46	6.74558e-05
3912.07	4.19206e-05
3953.69	4.39836e-05
3995.31	4.09551e-05
4036.93	5.64751e-05
4078.55	5.54815e-05
4120.16	5.51807e-05
